🕘️更新时间,#genre#
2025-08-07 18:58:36,http://localhost:8000/live/6322924919439322884

📺央视频道,#genre#
CCTV-2,http://localhost:8000/live/6322924919439322884
CCTV-4,http://localhost:8000/live/1276191139960250808
CCTV-5,http://localhost:8000/live/8477110130214009925
CCTV-7,http://localhost:8000/live/4523395959586803984
CETV-1,http://localhost:8000/live/1213690635226514349
CETV-1,http://localhost:8000/live/7251867120901672096
CETV-1,http://localhost:8000/live/-4320083855789022681
CETV-1,http://localhost:8000/live/6259146837461254007
CETV-1,http://localhost:8000/live/-1648956657429085600
CETV-1,http://localhost:8000/live/-2051159467494376164
CETV-1,http://localhost:8000/live/-2161381592802854392
CETV-1,http://localhost:8000/live/1549889449199700876

💰央视付费频道,#genre#
央视台球,http://localhost:8000/live/6583781021425998473
央视台球,http://localhost:8000/live/9116753460633408728
央视台球,http://localhost:8000/live/-594552229593077406
央视台球,http://localhost:8000/live/-7837266102556485210
央视台球,http://localhost:8000/live/7383071579670618104
央视台球,http://localhost:8000/live/-3078697188494934558
风云音乐,http://localhost:8000/live/-6818404717263433590
风云音乐,http://localhost:8000/live/863029927354852128
风云音乐,http://localhost:8000/live/-4901970372869184215
风云音乐,http://localhost:8000/live/7726058619128870724
风云剧场,http://localhost:8000/live/8760892743199129204
风云剧场,http://localhost:8000/live/-1407461761562278724
风云剧场,http://localhost:8000/live/-9095115096439851158
风云剧场,http://localhost:8000/live/258950711353384810
风云剧场,http://localhost:8000/live/6996108074139873127
怀旧剧场,http://localhost:8000/live/9117524351872806983
怀旧剧场,http://localhost:8000/live/-8744763294219139476
怀旧剧场,http://localhost:8000/live/-7647751854138281797
怀旧剧场,http://localhost:8000/live/8440391401453353784
女性时尚,http://localhost:8000/live/8642429225875716478
高尔夫网球,http://localhost:8000/live/-2101924924
高尔夫网球,http://localhost:8000/live/1219654214150261533
高尔夫网球,http://localhost:8000/live/5390661725845213943
高尔夫网球,http://localhost:8000/live/3542369421745794632
电视指南,http://localhost:8000/live/6032827822179886503
电视指南,http://localhost:8000/live/3628279255977295329
电视指南,http://localhost:8000/live/3410626719541102750
世界地理,http://localhost:8000/live/5060662768617223834
世界地理,http://localhost:8000/live/7453981314617186362
世界地理,http://localhost:8000/live/5026787544232837398
世界地理,http://localhost:8000/live/-3575923940813113049
世界地理,http://localhost:8000/live/3461252945936456418
兵器科技,http://localhost:8000/live/3873377217552828504
兵器科技,http://localhost:8000/live/-4148870120322485041
兵器科技,http://localhost:8000/live/-433079048363477548

📡卫视频道,#genre#
广东卫视,http://localhost:8000/live/-3130721982865090528
湖南卫视,http://localhost:8000/live/-37127395072947954
湖南卫视,http://localhost:8000/live/3062534983783456576
湖南卫视,http://localhost:8000/live/-5888213758227614961
湖南卫视,http://localhost:8000/live/6915345902905185979
湖南卫视,http://localhost:8000/live/1151838931
湖南卫视,http://localhost:8000/live/1683448230259228195
湖南卫视,http://localhost:8000/live/-44792408
北京卫视,http://localhost:8000/live/4066672803704949932
湖北卫视,http://localhost:8000/live/-6428880601663071010
东南卫视,http://localhost:8000/live/7843208638482862687
东南卫视,http://localhost:8000/live/1622412759
甘肃卫视,http://localhost:8000/live/-5921560998676586534
河南卫视,http://localhost:8000/live/6055821497051018836
河南卫视,http://localhost:8000/live/-2686450209287134077
吉林卫视,http://localhost:8000/live/-795642605253958723
山东卫视,http://localhost:8000/live/-6621047598088157330
山西卫视,http://localhost:8000/live/284560527121591901
山西卫视,http://localhost:8000/live/-5585649354735533602
山西卫视,http://localhost:8000/live/8806136955278913754
山西卫视,http://localhost:8000/live/-3246990473663717748
四川卫视,http://localhost:8000/live/-638361006
深圳卫视,http://localhost:8000/live/-95396052

☘️广东频道,#genre#
广东珠江,http://localhost:8000/live/-4969143290881938947
广东新闻,http://localhost:8000/live/-3347657350336114364
汕头综合,http://localhost:8000/live/-1526188516055273072
汕头经济,http://localhost:8000/live/-8205623191717333844
汕头文旅,http://localhost:8000/live/-1402733924801628790

☘️浙江频道,#genre#
杭州综合,http://localhost:8000/live/3551741322449233627
杭州明珠,http://localhost:8000/live/-1829609241219563577
杭州明珠,http://localhost:8000/live/5345341065445039478
嘉兴公共,http://localhost:8000/live/5273681181618731308
嘉兴文化影视,http://localhost:8000/live/6067530509657471331
丽水新闻,http://localhost:8000/live/-3998726875219859307
湖州新闻综合,http://localhost:8000/live/-795077382660149351
湖州新闻综合,http://localhost:8000/live/-5786736013866724248
